file,smell,model,strategy,total_evaluated,accuracy,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1,precision_critical,recall_critical,f1_critical,support_critical,precision_major,recall_major,f1_major,support_major,precision_minor,recall_minor,f1_minor,support_minor
ollama_results_feature_envy_llama3_1-8b_Casual.json,feature envy,llama3_1-8b,Casual,33,0.6060606060606061,0.3846153846153846,0.3742424242424242,0.3640238704177323,0.5629370629370629,0.6060606060606061,0.5656048980857165,0.0,0.0,0.0,2,0.5,0.2727272727272727,0.35294117647058826,11,0.6538461538461539,0.85,0.7391304347826086,20
ollama_results_feature_envy_llama3_1-8b_Confirmation-Bias.json,feature envy,llama3_1-8b,Confirmation-Bias,33,0.36363636363636365,0.5490196078431372,0.21363636363636365,0.25375375375375375,0.7254901960784313,0.36363636363636365,0.415915915915916,0.0,0.0,0.0,2,1.0,0.09090909090909091,0.16666666666666666,11,0.6470588235294118,0.55,0.5945945945945946,20
ollama_results_feature_envy_llama3_1-8b_Contradictory-Hint.json,feature envy,llama3_1-8b,Contradictory-Hint,33,0.09090909090909091,0.19999999999999998,0.049999999999999996,0.08,0.36363636363636365,0.09090909090909091,0.14545454545454545,0.0,0.0,0.0,2,0.0,0.0,0.0,11,0.6,0.15,0.24,20
ollama_results_feature_envy_llama3_1-8b_EGDP.json,feature envy,llama3_1-8b,EGDP,33,0.3333333333333333,0.4523809523809524,0.3196969696969697,0.20268620268620266,0.7251082251082251,0.3333333333333333,0.22866022866022864,0.0,0.0,0.0,2,0.35714285714285715,0.9090909090909091,0.5128205128205128,11,1.0,0.05,0.09523809523809523,20
ollama_results_feature_envy_llama3_1-8b_False-Premise.json,feature envy,llama3_1-8b,False-Premise,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,11,0.0,0.0,0.0,20
ollama_results_long_method_llama3_1-8b_Casual.json,long method,llama3_1-8b,Casual,24,0.5,0.456140350877193,0.4444444444444444,0.3461538461538461,0.7324561403508771,0.5,0.4695512820512821,0.0,0.0,0.0,2,0.3684210526315789,1.0,0.5384615384615384,7,1.0,0.3333333333333333,0.5,15
ollama_results_long_method_llama3_1-8b_Confirmation-Bias.json,long method,llama3_1-8b,Confirmation-Bias,24,0.5,0.43076923076923074,0.3428571428571428,0.38095238095238093,0.6076923076923078,0.5,0.5476190476190477,0.0,0.0,0.0,2,0.6,0.42857142857142855,0.5,7,0.6923076923076923,0.6,0.6428571428571429,15
ollama_results_long_method_llama3_1-8b_Contradictory-Hint.json,long method,llama3_1-8b,Contradictory-Hint,24,0.5833333333333334,0.5230769230769231,0.41269841269841273,0.4603174603174603,0.7141025641025641,0.5833333333333334,0.6408730158730159,0.0,0.0,0.0,2,0.8,0.5714285714285714,0.6666666666666666,7,0.7692307692307693,0.6666666666666666,0.7142857142857143,15
ollama_results_long_method_llama3_1-8b_EGDP.json,long method,llama3_1-8b,EGDP,24,0.3333333333333333,0.2708333333333333,0.3047619047619048,0.2401656314699793,0.4036458333333333,0.3333333333333333,0.3053830227743271,0.0,0.0,0.0,2,0.3125,0.7142857142857143,0.43478260869565216,7,0.5,0.2,0.2857142857142857,15
ollama_results_long_method_llama3_1-8b_False-Premise.json,long method,llama3_1-8b,False-Premise,24,0.041666666666666664,0.16666666666666666,0.022222222222222223,0.0392156862745098,0.3125,0.041666666666666664,0.07352941176470588,0.0,0.0,0.0,2,0.0,0.0,0.0,7,0.5,0.06666666666666667,0.11764705882352941,15
